year,gender,name,count
2017,F,Alianna,182
2017,F,Alianny,6
2017,F,Alianys,5
2017,M,Alias,14
2017,F,Alice,3810
2017,F,Alicen,6
2017,F,Alicia,836
2017,F,Aliciana,5
2017,F,Alida,6
2017,F,Alijah,14
2017,M,Alijah,584
2017,M,Alik,7
2017,F,Alika,5
2017,M,Alika,9
2017,F,Alin,5
2017,F,Alina,1638
2017,F,Alinah,10
2017,F,Aline,7
2017,F,Alinna,15
2017,F,Alisa,200
2017,F,Alise,11
2017,F,Alisha,255
2017,F,Alison,782
2017,F,Alissa,186
2017,F,Alissandra,6
2017,F,Alisson,215
2017,M,Alistair,177
2017,M,Alister,42
2017,F,Alitza,12
2017,F,Alitzel,14
2017,F,Alivia,1309
2017,F,Aliviah,19
2017,F,Aliya,238
2017,F,Aliyah,1897
2017,F,Aliyana,121
2017,F,Aliyanna,15
2017,F,Aliza,393
2017,F,Alizabeth,12
2017,F,Alizae,33
2017,F,Alizah,33
2017,F,Alizay,25
2017,F,Alize,39
2017,F,Alizee,6
2017,M,Allan,236
2017,F,Allana,24
2017,F,Allee,5
2017,F,Allegra,39
2017,M,Allen,767
2017,F,Allena,6
2017,F,Alli,6
2017,F,Allie,964
2017,F,Allison,4023
2017,F,Allisson,55
2017,M,Allister,5
2017,F,Alliyah,5
2017,F,Allure,5
2017,F,Ally,168
2017,F,Allyanna,6
2017,F,Allysen,5
2017,F,Allyson,618
2017,F,Allyssa,5
2017,F,Alma,410
2017,M,Alma,6
2017,F,Alona,40
2017,F,Alondra,820
2017,F,Aloni,5
2017,F,Alonna,20
2017,M,Alonso,266
2017,M,Alonzo,509
2017,F,Alora,196
2017,M,Alp,14
2017,M,Alpha,20
2017,M,Alphonse,6
2017,M,Alphonso,6
2017,M,Alston,41
2017,F,Alta,6
2017,F,Althea,80
2017,M,Alton,82
2017,M,Alvaro,207
2017,F,Alveena,5
2017,M,Alvin,396
2017,F,Aly,24
2017,M,Aly,5
2017,F,Alya,40
2017,F,Alyah,16
2017,M,Alyan,5
2017,F,Alyana,60
2017,F,Alyanah,5
2017,F,Alyanna,67
2017,F,Alyce,5
2017,F,Alycia,33
2017,F,Alyna,80
2017,F,Alynna,28
2017,F,Alyse,28
2017,F,Alysha,16
2017,F,Alysia,23
2017,F,Alyson,259
2017,F,Alyssa,2220
2017,F,Alyssandra,8
2017,F,Alyssia,12
2017,F,Alysson,42
2017,F,Alyvia,191
2017,F,Alyza,24
2017,M,Amaan,6
2017,F,Amada,18
2017,M,Amadeo,18
2017,M,Amadeus,38
2017,M,Amado,17
2017,M,Amador,16
2017,M,Amadou,18
2017,F,Amahia,10
2017,F,Amai,6
2017,F,Amaia,205
2017,F,Amaiah,12
2017,F,Amaira,15
2017,F,Amairani,25
2017,F,Amairany,37
2017,F,Amaiya,15
2017,F,Amaiyah,15
2017,F,Amal,145
2017,F,Amali,5
2017,F,Amalia,453
2017,F,Amalie,11
2017,F,Amalya,7
2017,M,Aman,16
2017,F,Amanda,917
2017,F,Amani,334
2017,M,Amani,22
2017,F,Amar,7
2017,M,Amar,97
2017,F,Amara,1474
2017,F,Amarachi,15
2017,F,Amarah,103
2017,M,Amare,149
2017,M,Amaree,7
2017,F,Amari,723
2017,M,Amari,1289
2017,F,Amaria,67
2017,F,Amariah,111
2017,F,Amariana,13
2017,F,Amarie,38
2017,M,Amarii,6
2017,M,Amarion,66
2017,F,Amaris,274
2017,F,Amarissa,7
2017,F,Amariyah,10
2017,M,Amarri,5
2017,M,Amaru,5
2017,F,Amaryllis,32
2017,M,Amauri,36
2017,M,Amaury,14
2017,M,Amay,6
2017,F,Amaya,1697
2017,F,Amayah,263
2017,F,Amayrani,6
2017,M,Amaziah,28
2017,F,Ambar,40
2017,F,Amber,735
2017,F,Amberlee,17
2017,F,Amberly,69
2017,F,Amberlyn,14
2017,F,Amberlynn,10
2017,F,Ambrielle,5
2017,M,Ambrose,38
2017,M,Ameen,26
2017,F,Ameena,46
2017,F,Ameenah,6
2017,M,Ameer,236
2017,F,Ameera,107
2017,F,Ameerah,76
2017,M,Ameir,11
2017,F,Ameli,6
2017,F,Amelia,11850
2017,F,Ameliah,17
2017,F,Ameliana,5
2017,F,Amelie,379
2017,F,Amellia,12
2017,F,Amen,28
2017,M,Amen,42
2017,F,Amena,6
2017,M,Amer,14
2017,M,Amere,30
2017,F,Ameria,5
2017,F,America,144
2017,F,Amerie,45
2017,F,Amery,6
2017,M,Ames,19
2017,F,Amethyst,111
2017,F,Ameya,20
2017,F,Ami,13
2017,F,Amia,285
2017,F,Amiah,134
2017,M,Amias,37
2017,F,Amie,31
2017,F,Amila,22
2017,M,Amilcar,5
2017,F,Amilia,112
2017,F,Amillia,5
2017,M,Amin,44
2017,F,Amina,1146
2017,F,Aminah,267
2017,F,Aminata,42
2017,M,Amir,2591
2017,F,Amira,987
2017,F,Amiracle,69
2017,F,Amirah,403
2017,F,Amiya,338
2017,F,Amiyah,1172
2017,M,Ammar,81
2017,M,Ammon,30
2017,F,Ammy,12
2017,F,Amna,19
2017,M,Amon,11
2017,F,Amoni,22
2017,F,Amor,63
2017,F,Amora,355
2017,M,Amori,5
2017,F,Amorie,6
2017,F,Amory,5
2017,M,Amos,308
2017,F,Amour,12
2017,F,Amoura,21
2017,M,Amr,6
2017,F,Amreen,12
2017,F,Amri,8
2017,F,Amrit,6
2017,M,Amrit,7
2017,M,Amrom,15
2017,F,Amrutha,5
2017,F,Amy,1713
2017,F,Amya,178
2017,F,Amyah,55
2017,F,Amyiah,7
2017,F,Amyla,7
2017,F,Amylia,5
2017,F,Amyra,133
2017,F,Amyrah,24
2017,F,An,7
2017,M,An,10
2017,F,Ana,1438
2017,F,Anabel,67
2017,F,Anabelen,5
2017,F,Anabella,190
2017,F,Anabelle,219
2017,F,Anabia,26
2017,F,Anaelle,23
2017,F,Anagha,6
2017,F,Anahi,437
2017,F,Anahita,5
2017,F,Anai,6
2017,F,Anaiah,55
2017,F,Anaira,15
2017,F,Anais,184
2017,F,Anaisha,58
2017,F,Anaiya,18
2017,F,Anaiyah,46
2017,M,Anakin,267
2017,F,Analeah,78
2017,F,Analee,46
